                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0786,                 5.0517,                 1.1337,                0.40972,                0.43126,                0.25598,                0.21569,                0.69438,                  5.289,                 1.0097,              7.497e-05,              7.497e-05,              7.497e-05
                      2,                0.67947,                 1.9448,                0.99931,                0.58353,                0.76829,                0.72425,                0.62782,                 0.6013,                  3.101,                0.90747,             0.00015044,             0.00015044,             0.00015044
                      3,                0.56412,                0.93404,                0.92459,                0.91155,                0.90473,                0.97288,                0.86351,                0.52139,                 1.3049,                0.85906,             0.00021765,             0.00021765,             0.00021765
                      4,                0.53903,                0.71613,                0.89814,                0.93758,                0.92717,                0.97839,                0.84522,                0.53446,                0.81048,                0.85726,             0.00027663,             0.00027663,             0.00027663
                      5,                0.55488,                0.65785,                0.90968,                0.88003,                0.92142,                0.96825,                0.86518,                0.48551,                0.81079,                0.84079,             0.00032735,             0.00032735,             0.00032735
                      6,                0.56537,                 0.6124,                 0.9114,                0.93855,                0.98012,                0.99411,                0.88425,                0.53066,                0.47132,                0.85584,             0.00036983,             0.00036983,             0.00036983
                      7,                0.53089,                0.54179,                0.89068,                0.93626,                 0.9802,                0.98804,                0.88641,                 0.4937,                  0.426,                0.86078,             0.00040406,             0.00040406,             0.00040406
                      8,                0.53259,                0.52429,                0.90178,                 0.9664,                0.98597,                0.99241,                0.87865,                0.55475,                0.42121,                0.88114,             0.00043005,             0.00043005,             0.00043005
                      9,                0.56933,                0.55144,                0.90699,                0.97354,                0.96406,                0.98355,                0.87459,                 0.5398,                0.44634,                  0.891,             0.00044779,             0.00044779,             0.00044779
                     10,                0.54979,                0.52895,                0.90418,                0.95607,                0.96012,                0.98176,                0.87563,                0.52926,                0.51615,                0.86707,             0.00045728,             0.00045728,             0.00045728
                     11,                0.48889,                0.48005,                0.86064,                0.95423,                0.96957,                0.98814,                0.87578,                0.51186,                0.47281,                0.86352,             0.00042066,             0.00042066,             0.00042066
                     12,                0.48255,                0.44047,                0.85987,                 0.9695,                 0.9841,                 0.9909,                0.87866,                0.50874,                 0.4752,                 0.8603,             0.00037943,             0.00037943,             0.00037943
                     13,                 0.4724,                0.40808,                0.84422,                0.97481,                0.96985,                0.99356,                0.88162,                0.50982,                0.45144,                0.86135,              0.0003382,              0.0003382,              0.0003382
                     14,                0.46929,                 0.3751,                0.84518,                0.96048,                0.96912,                0.98806,                0.89515,                0.47635,                0.38816,                0.84156,             0.00029696,             0.00029696,             0.00029696
                     15,                0.44342,                0.38029,                0.83835,                0.98469,                0.98189,                0.98902,                 0.8904,                0.49373,                0.39421,                0.85128,             0.00025573,             0.00025573,             0.00025573
                     16,                0.43055,                0.33216,                 0.8442,                0.97024,                0.97468,                0.98177,                0.88019,                0.48852,                0.41906,                0.85636,              0.0002145,              0.0002145,              0.0002145
                     17,                0.41921,                0.31227,                0.83269,                0.97554,                0.98303,                0.99003,                0.89421,                0.47987,                0.32841,                0.85165,             0.00017326,             0.00017326,             0.00017326
                     18,                0.41584,                0.30452,                0.82764,                0.98809,                0.99753,                  0.995,                0.90514,                0.45495,                0.27353,                 0.8435,             0.00013203,             0.00013203,             0.00013203
                     19,                  0.392,                0.27564,                0.81772,                0.98613,                0.99389,                0.99479,                0.91456,                0.42489,                0.26133,                0.82697,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                0.38079,                0.27294,                0.82854,                0.98385,                0.99764,                0.99229,                0.91566,                0.42783,                0.24982,                0.82631,             4.9564e-05,             4.9564e-05,             4.9564e-05
